LAST SEEN   TYPE      REASON                    OBJECT                                   MESSAGE
6m30s       Normal    SuccessfulDelete          replicaset/janus-7cbc665fcc              Deleted pod: janus-7cbc665fcc-98prc
6m28s       Normal    SuccessfulDelete          replicaset/millo-workers-54ff4d94cc      Deleted pod: millo-workers-54ff4d94cc-p697p
6m28s       Normal    ScalingReplicaSet         deployment/millo-workers                 Scaled down replica set millo-workers-54ff4d94cc from 1 to 0
5m16s       Normal    Pulled                    pod/millo-nginx-rtmp-6f7bf6cc47-56n5l    Container image "millo/nginx-rtmp:latest" already present on machine and can be accessed by the pod
3m51s       Warning   FailedGetResourceMetric   horizontalpodautoscaler/millo-api-hpa    failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
2m36s       Normal    Created                   pod/millo-api-7fbbfb8896-vln79           Container created
2m36s       Normal    Started                   pod/millo-api-7fbbfb8896-vln79           Container started
2m36s       Normal    Pulled                    pod/millo-api-7fbbfb8896-vln79           Container image "docker.io/library/millo-api-gateway:latest" already present on machine and can be accessed by the pod
2m31s       Normal    Created                   pod/millo-api-7fbbfb8896-5bgsj           Container created
2m31s       Normal    Started                   pod/millo-api-7fbbfb8896-5bgsj           Container started
2m31s       Normal    Pulled                    pod/millo-api-7fbbfb8896-5bgsj           Container image "docker.io/library/millo-api-gateway:latest" already present on machine and can be accessed by the pod
2m30s       Normal    Started                   pod/millo-api-7fbbfb8896-5zctp           Container started
2m30s       Normal    Pulled                    pod/millo-api-7fbbfb8896-5zctp           Container image "docker.io/library/millo-api-gateway:latest" already present on machine and can be accessed by the pod
2m30s       Normal    Created                   pod/millo-api-7fbbfb8896-5zctp           Container created
2m26s       Normal    Started                   pod/millo-api-6c8f6c4f7d-wkv4m           Container started
2m26s       Normal    Created                   pod/millo-api-6c8f6c4f7d-kvzkb           Container created
2m26s       Normal    Pulled                    pod/millo-api-6c8f6c4f7d-wkv4m           Container image "docker.io/library/millo-api-gateway:latest" already present on machine and can be accessed by the pod
2m26s       Normal    Pulled                    pod/millo-api-6c8f6c4f7d-kvzkb           Container image "docker.io/library/millo-api-gateway:latest" already present on machine and can be accessed by the pod
2m26s       Normal    Started                   pod/millo-api-6c8f6c4f7d-kvzkb           Container started
2m26s       Normal    Created                   pod/millo-api-6c8f6c4f7d-wkv4m           Container created
2m15s       Normal    Pulled                    pod/janus-75d997d488-c26zl               Container image "docker.io/library/millo-janus:latest" already present on machine and can be accessed by the pod
2m15s       Normal    Created                   pod/janus-75d997d488-c26zl               Container created
2m15s       Normal    Started                   pod/janus-75d997d488-c26zl               Container started
2m14s       Normal    Created                   pod/millo-nginx-rtmp-58f947ffb8-m6wm9    Container created
2m14s       Normal    Started                   pod/millo-nginx-rtmp-58f947ffb8-m6wm9    Container started
2m14s       Normal    Pulled                    pod/millo-nginx-rtmp-58f947ffb8-m6wm9    Container image "millo/nginx-rtmp:latest" already present on machine and can be accessed by the pod
